username;hashtags;type;post_url;media_url;timestamp;date;comments;likes;caption;username_id;id;geotag_name;geotag_coordinates
itsdougthepug;;photo;https://www.instagram.com/p/Bvo5kE3ATAf;https://scontent-amt2-1.cdninstagram.com/vp/7b470bdb6a55a671913dc090460d0b61/5D2E1176/t51.2885-15/e35/53832929_335847810283649_1902061388475651335_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553963063;30-3-2019 17:24;381;82508;“Ur my puggerfly, sugar baby” -Doug;272308462;2,01111E+18;;
itsdougthepug;cwinthedark,zerofsgiven,sponsored;photo;https://www.instagram.com/p/BvmTREUAwsb;https://scontent-amt2-1.cdninstagram.com/vp/d31f69dde536d41971386f9df3c2faf4/5D4EC441/t51.2885-15/e35/53709447_126883908453409_4168300909481917869_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553875876;29-3-2019 17:11;525;89428;“I may be a pug, but to my owners I’m a superhero” -Doug;;;;
•;;;;;;;;;;;;;
My owner has health issues such as endometriosis and an autoimmune disease; as well as anxiety. I’m a great sidekick because I instinctively know when she’s in pain and how to comfort her or calm her down! Be sure to watch @cwinthedark; a show that tells the story of an atypical service dog and her human. Premieres this Thursday;" April 4th at 9/8c on the CW! #CWInTheDark #ZeroFsGiven #sponsored""";272308462;2,01038E+18;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BvjuI_mArZa;https://scontent-amt2-1.cdninstagram.com/vp/500d0d18f8c176104abeabb9996c1e0d/5D475250/t51.2885-15/e35/55778150_573488473151452_7316121154688140231_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553789302;28-3-2019 17:08;363;86190;“When the waiter finally brings ur food” -Doug;272308462;2,00965E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvhIPlRgfUt;https://scontent-amt2-1.cdninstagram.com/vp/779977f47fa1dfeb9bf2df52bfd1c4a2/5D3E8742/t51.2885-15/e35/54800485_386381255279498_8847935344686044368_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553702324;27-3-2019 16:58;396;89606;“‪Manifesting more pizza into my life” -Doug;272308462;2,00892E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvfaCngARjt;https://scontent-amt2-1.cdninstagram.com/vp/54ce30e732a9dcd85fa48a0001a56c3b/5D47EDF5/t51.2885-15/e35/54512890_341398283385137_819431591374757769_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553644546;27-3-2019 0:55;1088;122738;“I’m feeling needy can u tell me how much u love me” -Doug;272308462;2,00844E+18;;
itsdougthepug;;photo;https://www.instagram.com/p/BvcCLHpAoAY;https://scontent-amt2-1.cdninstagram.com/vp/238cd8de6f86f05268934fa475410008/5D2B4F70/t51.2885-15/e35/53651793_416852632215239_6422742086203611603_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553531370;25-3-2019 17:29;665;127443;“Just another puggy Monday” -Doug;272308462;2,00749E+18;;
itsdougthepug;happybirthdayclaires,dougthepugxclaires;photo;https://www.instagram.com/p/BvaPiZsgR4s;https://scontent-amt2-1.cdninstagram.com/vp/1d9a68dd3353e76c88435bd11eb1ee93/5D32C323/t51.2885-15/e35/55776958_558666314622706_5057856244678949130_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553471268;25-3-2019 0:47;421;114544;“When ur fans make u feel magical” -Doug;;;;
•;;;;;;;;;;;;;
"Thank u Los Angeles for another sold out meet and greet @clairesstores!! #happybirthdayclaires #dougthepugxclaires""";272308462;2,00698E+18;;;;;;;;;;;
itsdougthepug;;photo;https://www.instagram.com/p/BvZe51hgfMJ;https://scontent-amt2-1.cdninstagram.com/vp/7a330ca9e628810d40baf57565296ef7/5D3629F9/t51.2885-15/e35/54732291_1401222900017756_2072942855742391002_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553445769;24-3-2019 17:42;950;137324;“‪100% would rather still be sleeping” -Doug;272308462;2,00677E+18;;
itsdougthepug;kca;photo;https://www.instagram.com/p/BvX70d1A7M4;https://scontent-amt2-1.cdninstagram.com/vp/bb13398a4bfe9bb033c71ed579012d29/5D3F8211/t51.2885-15/e35/53402141_2050811168543447_6760606714035516927_n.jpg?_nc_ht=scontent-amt2-1.cdninstagram.com;1553393821;24-3-2019 3:17;356;104275;“When @nickelodeon makes u ur own throne” -Doug;;;;
•;;;;;;;;;;;;;
"Had so much fun at the Kids Choice Awards! Did u see me on tv?! #kca""";272308462;2,00634E+18;;;;;;;;;;;
